API,Full,NoGA,NOComb,NOConstraint
tf.keras.layers.AveragePooling2D,0.011904761904761904,0.0,0.015873015873015872,0.011904761904761904
tf.keras.layers.Conv3D,0.3,0.4318181818181818,0.07,0.38
tf.keras.layers.AveragePooling3D,0.0,0.0,0.0,0.0
tf.keras.layers.DepthwiseConv2D,0.29,0.3,0.11,0.31
tf.keras.layers.SeparableConv2D,0.71,0.71,0.41,0.77
tf.nn.conv1d,0.36585365853658536,0.07692307692307693,0.42857142857142855,0.3582089552238806
tf.nn.max_pool2d,0.5,0.5,0.5,0.3333333333333333
tf.nn.avg_pool3d,0.208955223880597,0.07692307692307693,0.17857142857142858,0.19402985074626866
tf.nn.avg_pool2d,0.3835616438356164,0.19230769230769232,0.3389830508474576,0.3333333333333333
tf.nn.conv2d,0.29,0.2222222222222222,0.35135135135135137,0.32
